SIDO,SIGUNGU,SEX_GB,AGE_GB,POPU_NUM,popu_per
경기도,성남시 중원구,전체,80,6353,0.029
경기도,성남시 중원구,전체,전체,220041,1
경기도,수원시,남,0,53806,0.089
경기도,수원시,남,10,64143,0.107
경기도,수원시,남,20,98428,0.164
경기도,수원시,남,30,95743,0.159
경기도,수원시,남,40,103709,0.172
경기도,수원시,남,50,97887,0.163
경기도,수원시,남,60,54367,0.09
경기도,수원시,남,70,24274,0.04
경기도,수원시,남,80,9053,0.015
경기도,수원시,남,전체,601410,1
경기도,수원시,여,0,50499,0.085
경기도,수원시,여,10,59747,0.101
경기도,수원시,여,20,88183,0.149
경기도,수원시,여,30,89375,0.151
경기도,수원시,여,40,102264,0.172
경기도,수원시,여,50,98043,0.165
경기도,수원시,여,60,56083,0.095
경기도,수원시,여,70,30320,0.051
경기도,수원시,여,80,18541,0.031
경기도,수원시,여,전체,593055,1
경기도,수원시,전체,0,104305,0.087
경기도,수원시,전체,10,123890,0.104
경기도,수원시,전체,20,186611,0.156
경기도,수원시,전체,30,185118,0.155
경기도,수원시,전체,40,205973,0.172
경기도,수원시,전체,50,195930,0.164
경기도,수원시,전체,60,110450,0.092
경기도,수원시,전체,70,54594,0.046
경기도,수원시,전체,80,27594,0.023
경기도,수원시,전체,전체,1194465,1
경기도,수원시 권선구,남,0,17825,0.095
경기도,수원시 권선구,남,10,18118,0.097
경기도,수원시 권선구,남,20,28754,0.153
경기도,수원시 권선구,남,30,31879,0.17
경기도,수원시 권선구,남,40,31782,0.169
경기도,수원시 권선구,남,50,30896,0.165
경기도,수원시 권선구,남,60,18006,0.096
경기도,수원시 권선구,남,70,7653,0.041
경기도,수원시 권선구,남,80,2714,0.014
경기도,수원시 권선구,남,전체,187627,1
경기도,수원시 권선구,여,0,16834,0.091
경기도,수원시 권선구,여,10,16682,0.091
경기도,수원시 권선구,여,20,26462,0.144
경기도,수원시 권선구,여,30,29122,0.158
경기도,수원시 권선구,여,40,29930,0.163
경기도,수원시 권선구,여,50,31762,0.173
경기도,수원시 권선구,여,60,18518,0.101
경기도,수원시 권선구,여,70,9202,0.05
경기도,수원시 권선구,여,80,5615,0.03
경기도,수원시 권선구,여,전체,184127,1
경기도,수원시 권선구,전체,0,34659,0.093
경기도,수원시 권선구,전체,10,34800,0.094
경기도,수원시 권선구,전체,20,55216,0.149
경기도,수원시 권선구,전체,30,61001,0.164
경기도,수원시 권선구,전체,40,61712,0.166
경기도,수원시 권선구,전체,50,62658,0.169
경기도,수원시 권선구,전체,60,36524,0.098
경기도,수원시 권선구,전체,70,16855,0.045
경기도,수원시 권선구,전체,80,8329,0.022
경기도,수원시 권선구,전체,전체,371754,1
경기도,수원시 영통구,남,0,20282,0.11
경기도,수원시 영통구,남,10,22435,0.121
경기도,수원시 영통구,남,20,30658,0.166
경기도,수원시 영통구,남,30,32550,0.176
경기도,수원시 영통구,남,40,33875,0.183
경기도,수원시 영통구,남,50,26696,0.144
경기도,수원시 영통구,남,60,12113,0.065
경기도,수원시 영통구,남,70,4732,0.026
경기도,수원시 영통구,남,80,1701,0.009
경기도,수원시 영통구,남,전체,185042,1
경기도,수원시 영통구,여,0,18815,0.103
경기도,수원시 영통구,여,10,21258,0.116
경기도,수원시 영통구,여,20,28178,0.154
경기도,수원시 영통구,여,30,31922,0.174
경기도,수원시 영통구,여,40,34730,0.189
경기도,수원시 영통구,여,50,26402,0.144
경기도,수원시 영통구,여,60,12155,0.066
경기도,수원시 영통구,여,70,6138,0.033
경기도,수원시 영통구,여,80,3828,0.021
경기도,수원시 영통구,여,전체,183426,1
경기도,수원시 영통구,전체,0,39097,0.106
경기도,수원시 영통구,전체,10,43693,0.119
경기도,수원시 영통구,전체,20,58836,0.16
경기도,수원시 영통구,전체,30,64472,0.175
경기도,수원시 영통구,전체,40,68605,0.186
